year,month,avg_petrol_ppl,avg_diesel_ppl
2018,1,120.97,124.49
2018,2,120.84,124.41
2018,3,119.2,122.9
2018,4,120.72,124.46
2018,5,125.28,129.24
2018,6,128.04,132.05
2018,7,127.2,131.61
2018,8,128.59,132.78
2018,9,130.3,134.33
2018,10,130.51,136.19
2018,11,128.06,136.48
2018,12,121.7,131.86
2019,1,119.55,129.46
2019,2,119.09,129.3
2019,3,120.28,130.71
2019,4,124.06,133.02
2019,5,128.28,135.76
2019,6,128.15,134.34
2019,7,127.26,131.98
2019,8,128.28,132.58
2019,9,127.25,131.78
2019,10,126.49,131.4
2019,11,125.51,130.31
2019,12,124.6,129.9
2020,1,126.94,132.47
2020,2,124.46,129.26
2020,3,119.42,123.85
2020,4,109,115.98
2020,5,106.24,113.42
2020,6,106.54,112.67
2020,7,111.39,116.73
2020,8,113.1,118.06
2020,9,113.32,118.18
2020,10,113.19,118.08
2020,11,112.6,117.39
2020,12,114.08,118.84
2021,1,116.64,121.2
2021,2,120.15,124.63
2021,3,123.74,128.12
2021,4,125.48,129.5
2021,5,127.17,130.96
2021,6,129.75,133.38
2021,7,132.71,135.39
2021,8,134.6,137.05
2021,9,134.89,137.42
2021,10,138.64,142.24
2021,11,145.78,149.62
2021,12,145.8,149.55
2022,1,145.05,148.94
2022,2,147.57,151.68
2022,3,160.23,170.49
2022,4,161.8,176.12
2022,5,165.84,179.71
2022,6,183.82,192.29
2022,7,189.42,197.84
2022,8,175.17,186.56
2022,9,166.5,181.66
2022,10,163.61,183.95
2022,11,163.61,187.94
2022,12,155.29,179.15
2023,1,149.21,172.08
2023,2,147.93,169.47
2023,3,146.73,166.45
2023,4,145.83,162.47
2023,5,144.45,154.69
2023,6,143,145.69
2023,7,143.23,145.19
2023,8,148.52,151.06
2023,9,153.57,157.39
2023,10,155.13,162.18
2023,11,151.02,158.97
2023,12,142.84,151.43
2024,1,139.86,148.26
2024,2,142.16,151.25
2024,3,144.8,154.13
2024,4,148.07,157.14
2024,5,148.81,156.31
2024,6,145.76,151.52
2024,7,144.44,150.35
2024,8,142.32,147.79
2024,9,136.8,141.81
2024,10,133.96,139.13
2024,11,134.8,140.46
2024,12,136.29,142.61
2025,1,137.11,144.12
2025,2,139.15,146.42
2025,3,137.5,144.83
2025,4,134.55,141.69
2025,5,132.39,139.05
2025,6,131.89,138.49
2025,7,133.87,141.38
2025,8,134.22,142.18
2025,9,133.98,141.84
2025,10,134.66,142.77
2025,11,135.04,143.82
2025,12,136.34,145.72
2026,1,134.17,143.41
